"filename", "language", "HTML", "YAML", "Markdown", "C++", "Swift", "Dart", "JSON", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\splashScreen.dart", "Dart", 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, -2, -17
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userAccessToEvent.dart", "Dart", 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, -7, -32
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\user_profile_screen.dart", "Dart", 0, 0, 0, 0, 0, -66, 0, 0, 0, -4, -15, -85
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userscreens\user_profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 162, 0, 0, 0, 17, 23, 202
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userscreens\yourEvents.dart", "Dart", 0, 0, 0, 0, 0, 102, 0, 0, 0, 13, 24, 139
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\design_variables.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 5, 8, 27
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\korazonSingUPLogo.dart", "Dart", 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 3, 61
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\utils.dart", "Dart", 0, 0, 0, 0, 0, 60, 0, 0, 0, 18, 21, 99
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\accessToEventWidgets\allowGuestIntoPartyButton.dart", "Dart", 0, 0, 0, 0, 0, 45, 0, 0, 0, 5, 10, 60
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\accessToEventWidgets\denyGuestIntoPartyButton.dart", "Dart", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 35
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\accessToEventWidgets\tickCrossAccess.dart", "Dart", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 6, 42
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\alertBox.dart", "Dart", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 2, 59
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\eventCard.dart", "Dart", 0, 0, 0, 0, 0, 169, 0, 0, 0, 13, 14, 196
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\event_card.dart", "Dart", 0, 0, 0, 0, 0, -182, 0, 0, 0, -98, -16, -296
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\followButton.dart", "Dart", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 3, 48
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\pickDateTime.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 6, 10, 49
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\postCard.dart", "Dart", 0, 0, 0, 0, 0, -77, 0, 0, 0, -3, -26, -106
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\selectEventCard.dart", "Dart", 0, 0, 0, 0, 0, 82, 0, 0, 0, 8, 35, 125
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\public\index.html", "HTML", 79, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 90
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\pubspec.yaml", "YAML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\web\index.html", "HTML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"Total", "-", 83, 9, 2, 7, 2, 1899, -7387, 2, -47, 65, 320, -5045
