"filename", "language", "JSON", "HTML", "YAML", "Dart", "Markdown", "C++", "Swift", "Ruby", "XML", "Properties", "Gradle", "comment", "blank", "total"
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\cloudresources\storage_methods.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 13, 59
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\data\models\event.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 8, 61
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\data\models\user.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 1, 6, 69
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\data\providers\user_provider.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 12, 6, 37
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\basePage.dart", "Dart", 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 4, 23, 205
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\buyTicketPage.dart", "Dart", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 7, 18, 130
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\eventDetails.dart", "Dart", 0, 0, 0, 231, 0, 0, 0, 0, 0, 0, 0, 13, 13, 257
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\home_page.dart", "Dart", 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 10, 17, 153
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\accessToEvent\checkTheAccessToEvent.dart", "Dart", 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 5, 32, 177
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\accessToEvent\scanner.dart", "Dart", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 7, 20, 69
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\editHostProfile.dart", "Dart", 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 17, 29, 252
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\eventCreationScreen.dart", "Dart", 0, 0, 0, 346, 0, 0, 0, 0, 0, 0, 0, 31, 84, 461
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\hostAnalytics.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\hostProfile.dart", "Dart", 0, 0, 0, 316, 0, 0, 0, 0, 0, 0, 0, 12, 42, 370
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\selectEventForAction.dart", "Dart", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 14, 27, 116
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\hostSignUp.dart", "Dart", 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 1, 18, 153
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\signUpLogin.dart", "Dart", 0, 0, 0, 324, 0, 0, 0, 0, 0, 0, 0, 63, 80, 467
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\signUpScreen2.dart", "Dart", 0, 0, 0, 296, 0, 0, 0, 0, 0, 0, 0, 10, 36, 342
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userscreens\user_profile_screen.dart", "Dart", 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 17, 23, 202
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userscreens\yourEvents.dart", "Dart", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 13, 24, 139
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\design_variables.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 11, 38
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\korazonSingUPLogo.dart", "Dart", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 1, 3, 61
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\utils.dart", "Dart", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 19, 24, 131
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\accessToEventWidgets\allowGuestIntoPartyButton.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 5, 10, 60
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\accessToEventWidgets\denyGuestIntoPartyButton.dart", "Dart", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\accessToEventWidgets\tickCrossAccess.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\alertBox.dart", "Dart", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 2, 59
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\eventCard.dart", "Dart", 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 13, 14, 196
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\followButton.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\pickDateTime.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 6, 10, 49
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\selectEventCard.dart", "Dart", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 8, 35, 125
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\textfield.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\togglebutton.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 6, 59
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\main.cc", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\my_application.cc", "C++", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 17, 26, 125
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\my_application.h", "C++", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 4, 29
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 10, 44
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
